input,gold_category,gold_priority,gold_escalation,baseline_category,fine_tuned_category,category_bucket,baseline_priority,fine_tuned_priority,priority_bucket,baseline_escalation_target,fine_tuned_escalation_target,escalation_bucket
"signature still says 'Sales Associate' but i got promoted to 'Senior Sales Associate' like 3 weeks ago, no rush",Microsoft 365,Low,No escalation needed.,Account / Authentication,HR,both_wrong,Low,Low,both_correct,No escalation needed,No escalation needed,both_correct
"i think i might have entered my password on the wrong site earlier, it looked like our login page but the url seemed a little off in hindsight, probably fine but wanted to say something",Security,High,Escalate to Security / Incident Response immediately due to suspected credential phishing.,Account / Authentication,Account / Authentication,both_wrong,Low,Low,both_wrong,No escalation needed,No escalation needed,both_wrong
"shared a onedrive folder with a vendor, they say the link says access denied but it works fine for me and everyone internal",Microsoft 365,Medium,Escalate to Microsoft 365 / Cloud Services if external sharing settings appear correct but access still fails.,Microsoft 365,Microsoft 365,both_correct,Medium,Medium,both_correct,Microsoft 365 / Cloud Services,Identity & Access Management,baseline_only
"getting logged out of everything randomly throughout the day, like every hour or so i have to sign back in, its really disruptive",Account / Authentication,Medium,Escalate to Identity & Access Management if repeated sign-outs continue after initial checks.,Account / Authentication,Account / Authentication,both_correct,High,Medium,fine_tuned_only,Identity & Access Management,Identity & Access Management,both_correct
"spilled water (not coffee this time lol) on my keyboard, powered it off right away but now im scared to turn it back on",Hardware,High,Escalate to Desktop Support / Hardware immediately for inspection before any further use.,Hardware,Hardware,both_correct,High,Medium,baseline_only,Desktop Support / Hardware,Desktop Support / Hardware,both_correct
"my account shows im still in the 'contractor' group even tho i went full time 2 months ago, missing out on some internal tools because of it",Account / Authentication,Low,Escalate to Identity & Access Management if group membership cannot be updated directly.,Account / Authentication,Account / Authentication,both_correct,High,Medium,both_wrong,Identity & Access Management,Identity & Access Management,both_correct
"the color printer is printing everything with a weird green tint, black and white stuff prints normal though",Printer,Medium,Escalate to Desktop Support / Hardware if the tint persists after calibration.,Printer,Printer,both_correct,Low,Medium,fine_tuned_only,No escalation needed,Desktop Support / Hardware,fine_tuned_only
"teams keeps saying 'poor connection' during calls but netflix streams fine and my speed test looks normal, kind of confusing",Microsoft 365,Medium,Escalate to Microsoft 365 / Cloud Services if the issue persists after the app update and isolation testing.,Network / Wi-Fi,Microsoft 365,fine_tuned_only,Medium,Medium,both_correct,Network Operations,Network Operations,both_wrong
"entire building offline right now, cant even get to internal tools, this is bad we have month end close today",Network / Wi-Fi,Critical,Escalate to Network Operations immediately as a business-critical outage.,Network / Wi-Fi,Network / Wi-Fi,both_correct,Critical,Critical,both_correct,Network Operations,Network Operations,both_correct
"ethernet cable behind my desk looks a lil frayed, still works fine but wanted to mention before it fully dies",Network / Wi-Fi,Low,No escalation needed.,Hardware,Network / Wi-Fi,fine_tuned_only,Low,Low,both_correct,No escalation needed,No escalation needed,both_correct
"the whole design team cant open any of their figma files since the update this morning, deadline is today for the client presentation",Software,High,Escalate to Desktop Support / Hardware for urgent investigation given the same-day deadline.,Software,Software,both_correct,High,High,both_correct,Desktop Support / Hardware,Desktop Support / Hardware,both_correct
"left my work phone in an uber this morning, already contacted the driver but no luck getting it back yet, it has email and teams logged in",Mobile Device,High,Escalate to Security / Incident Response immediately due to a lost device with active email/Teams access.,Mobile Device,Mobile Device,both_correct,High,High,both_correct,Security / Incident Response,Security / Incident Response,both_correct
"so i was on vpn all morning fine then it just dropped and now it wont reconnect, keeps failing at the handshake step or whatever",VPN,Medium,Escalate to Network Operations if reconnection continues to fail across gateways.,VPN,VPN,both_correct,High,Medium,fine_tuned_only,Network Operations,Network Operations,both_correct
"keep sending print jobs and nothing happens, no error either, just disappears into the void",Printer,Medium,Escalate to Desktop Support / Hardware if the queue remains stuck after a spooler restart.,Printer,Printer,both_correct,Medium,Medium,both_correct,Desktop Support / Hardware,Desktop Support / Hardware,both_correct
"13 people on the new grad cohort cant log into anything today, first day and they're all just sitting there unable to start onboarding",Account / Authentication,High,Escalate to Identity & Access Management; affects an entire new-hire cohort's first-day access.,Account / Authentication,Account / Authentication,both_correct,High,Critical,baseline_only,Identity & Access Management,Identity & Access Management,both_correct
"random but my calendar shows me as 'out of office' even though i turned that off like a week ago, people keep asking if im on vacation lol",Microsoft 365,Low,No escalation needed.,Microsoft 365,Microsoft 365,both_correct,Low,Low,both_correct,No escalation needed,No escalation needed,both_correct
"getting a push notification for mfa but i never tried to log in, denied it just in case, kinda freaked out ngl",Security,High,Escalate to Security / Incident Response for review of the unauthorized login attempt.,Account / Authentication,Account / Authentication,both_wrong,High,Low,baseline_only,Identity & Access Management,No escalation needed,both_wrong
"our whole remote sales team (about 9 people) cant get on vpn since like 8am, we're supposed to be doing demos all day",VPN,High,Escalate to Network Operations; multiple users affected during a business-critical activity.,VPN,VPN,both_correct,High,High,both_correct,Network Operations,Network Operations,both_correct
"wifi's been kinda spotty on my end today, drops for like a sec every so often. not a big deal just flagging it",Network / Wi-Fi,Low,No escalation needed unless the drops become more frequent or disruptive.,Network / Wi-Fi,Network / Wi-Fi,both_correct,Low,Low,both_correct,No escalation needed,No escalation needed,both_correct
"Hi, this is the VP of Finance. I can't open last quarter's budget file, it just says the file is corrupted. I'll need it eventually but I'm not touching that project again until next month, so no rush on my end.",File / Permissions,Low,No escalation needed given the user's stated timeline; revisit closer to when the file is required.,File / Permissions,File / Permissions,both_correct,Low,Low,both_correct,No escalation needed,No escalation needed,both_correct
"keyboard AND trackpad both being weird today, keyboard skips letters sometimes and trackpad randomly right-clicks on its own, could be one issue or two not sure",Hardware,Medium,Escalate to Desktop Support / Hardware if the issue persists after driver updates.,Hardware,Hardware,both_correct,Medium,Medium,both_correct,Desktop Support / Hardware,Desktop Support / Hardware,both_correct
"a handful of us on the marketing team noticed our shared drive is running really slow today, takes forever to open even small files, nothing crazy just annoying",Network / Wi-Fi,Medium,Escalate to Network Operations if performance does not improve after server health checks.,File / Permissions,Network / Wi-Fi,fine_tuned_only,Medium,Medium,both_correct,Network Operations,Network Operations,both_correct
"work phone keeps disconnecting from bluetooth headset mid call, has to be like 5 times today already",Mobile Device,Medium,Escalate to Desktop Support / Hardware if disconnections continue after re-pairing and updates.,Mobile Device,Mobile Device,both_correct,Medium,Medium,both_correct,Desktop Support / Hardware,Desktop Support / Hardware,both_correct
"nobody in customer support can see the shared inbox since this morning, tickets are just piling up and customers are waiting",Microsoft 365,High,Escalate to Microsoft 365 / Cloud Services; affects customer-facing operations.,Account / Authentication,Microsoft 365,fine_tuned_only,High,High,both_correct,Identity & Access Management,Microsoft 365 / Cloud Services,fine_tuned_only
"one of my monitor's stand is wobbly, monitor itself is fine just the stand, not urgent",Hardware,Low,No escalation needed.,Hardware,Hardware,both_correct,Low,Low,both_correct,No escalation needed,No escalation needed,both_correct
"major update pushed to every laptop in the company this morning and now like half of us cant even log into windows, black screen after the lock screen",Software,Critical,Escalate to Desktop Support / Hardware immediately as a business-critical outage.,Software,Microsoft 365,baseline_only,High,Critical,fine_tuned_only,Desktop Support / Hardware,Desktop Support / Hardware,both_correct
"getting a popup every time i open chrome asking to set it as default browser, i already said no like 20 times, harmless just annoying",Software,Low,No escalation needed.,Software,Browser,baseline_only,Low,Low,both_correct,No escalation needed,No escalation needed,both_correct
"not urgent at all but the loading spinner in our CRM is like weirdly huge now after the last update, kind of funny actually",Software,Low,No escalation needed.,Software,Software,both_correct,Low,Low,both_correct,No escalation needed,No escalation needed,both_correct
"Hi, VP of Marketing here. My VPN icon shows a small yellow triangle warning, but everything's connecting fine and I can access what I need. Just want it looked at when someone has a spare minute, not urgent at all.",VPN,Low,No escalation needed; user confirmed no impact.,VPN,VPN,both_correct,Low,Low,both_correct,No escalation needed,No escalation needed,both_correct
"just noticed the HR shared drive with everyone's salary info is showing up for me and i definitely shouldnt be able to see that, closed it immediately",File / Permissions,Critical,Escalate to Security / Incident Response immediately as a potential data exposure incident.,Security,File / Permissions,fine_tuned_only,High,High,both_wrong,Security / Incident Response,Security / Incident Response,both_correct
ok this is weird -- i can load some websites fine but others just spin forever. vpn is off. tried both chrome and edge same result. anyone else having this?,Network / Wi-Fi,Medium,Escalate to Network Operations if the issue persists after DNS troubleshooting.,Network / Wi-Fi,Network / Wi-Fi,both_correct,Medium,Medium,both_correct,Network Operations,Network Operations,both_correct
"the new expense report tool has really tiny text, kind of hard to read, any way to make it bigger?",Software,Low,No escalation needed.,Software,Software,both_correct,Low,Low,both_correct,No escalation needed,No escalation needed,both_correct
"docking station stopped charging my laptop, still connects the monitor and keyboard fine just no power delivery anymore",Hardware,Medium,Escalate to Desktop Support / Hardware for dock replacement if the fault is confirmed on the dock itself.,Hardware,Hardware,both_correct,Medium,Medium,both_correct,Desktop Support / Hardware,Desktop Support / Hardware,both_correct
"deleted a folder i thought was old but turns out someone else was still using it, tried checking the recycle bin on the shared drive but its not there",File / Permissions,Medium,Escalate to Network Operations for a backup restore of the deleted folder.,File / Permissions,File / Permissions,both_correct,Medium,Medium,both_correct,Security / Incident Response,Network Operations,fine_tuned_only
"coworker shared a folder with me but i just get 'you need access' when i click the link, they said they definitely shared it with my email",File / Permissions,Medium,Escalate to Identity & Access Management if permission settings appear correct but access still fails.,Account / Authentication,File / Permissions,fine_tuned_only,Medium,Medium,both_correct,Identity & Access Management,Identity & Access Management,both_correct
"cant remember where the Q3 planning doc is, probably my fault for not saving it somewhere sensible, no rush",File / Permissions,Low,No escalation needed.,File / Permissions,File / Permissions,both_correct,Low,Low,both_correct,No escalation needed,No escalation needed,both_correct
"accidentally created like 3 duplicate versions of the same file in the shared folder, not sure which one is the 'real' one anymore, kind of a mess i made myself",File / Permissions,Low,No escalation needed.,File / Permissions,File / Permissions,both_correct,Low,Low,both_correct,No escalation needed,No escalation needed,both_correct
"keep getting bumped off the network mid meeting, like every 20 min or so, its only me though, coworkers next to me are fine",Network / Wi-Fi,Medium,Escalate to Network Operations if the issue persists after the driver update and DHCP check.,Network / Wi-Fi,Network / Wi-Fi,both_correct,High,Medium,fine_tuned_only,Network Operations,Network Operations,both_correct
"got a weird text asking me to click a link to verify my work account, looked kinda sus so i didnt click it, just wanted to flag it",Security,Low,No escalation needed unless the message is confirmed part of a broader campaign.,Account / Authentication,Security,fine_tuned_only,Low,Low,both_correct,Identity & Access Management,No escalation needed,fine_tuned_only
"quick q - vpn seems slower than usual today, not blocking me from working just noticeably laggy",VPN,Low,No escalation needed unless slowness worsens.,VPN,VPN,both_correct,Low,Low,both_correct,No escalation needed,No escalation needed,both_correct
"VPN gateway is completely down company-wide, nobody remote can connect, this includes the exec team who are on the road for client meetings this week",VPN,Critical,Escalate to Network Operations immediately as a business-critical outage.,VPN,VPN,both_correct,Critical,Critical,both_correct,Network Operations,Network Operations,both_correct
"locked out after too many tries, i swear i typed it right, need back in asap i have payroll due today",Account / Authentication,High,"No escalation needed once unlocked, unless the underlying cause is unclear.",Account / Authentication,Account / Authentication,both_correct,High,High,both_correct,Identity & Access Management,Identity & Access Management,both_wrong
"sharepoint, teams, and outlook are ALL down company wide right now, nobody can work, this has been going on for 20 min already",Microsoft 365,Critical,Escalate to Microsoft 365 / Cloud Services immediately as a business-critical outage.,Microsoft 365,Microsoft 365,both_correct,Critical,Critical,both_correct,Microsoft 365 / Cloud Services,Microsoft 365 / Cloud Services,both_correct
"laptop fan sounds like a jet engine now, wasnt like this last week, kinda worried its gonna overheat",Hardware,Medium,Escalate to Desktop Support / Hardware if overheating continues after cleaning and closing background apps.,Hardware,Hardware,both_correct,High,Medium,fine_tuned_only,Desktop Support / Hardware,Desktop Support / Hardware,both_correct
"laptop literally started smoking a little at my desk just now, i unplugged it and moved away, is that normal lol (im scared)",Hardware,Critical,Escalate to Desktop Support / Hardware immediately due to a potential fire/safety hazard.,Hardware,Hardware,both_correct,Critical,Critical,both_correct,Desktop Support / Hardware,Desktop Support / Hardware,both_correct
"small thing - the guest wifi password on the sign in the lobby doesnt work anymore, visitors keep asking front desk",Network / Wi-Fi,Low,No escalation needed.,Network / Wi-Fi,Network / Wi-Fi,both_correct,Low,Low,both_correct,No escalation needed,No escalation needed,both_correct
"vpn connects but then randomly kicks me off AND when im on i cant print to the office printer either, might be related might not",VPN,Medium,Escalate to Network Operations if VPN instability is confirmed as the root cause of both symptoms.,VPN,VPN,both_correct,High,Medium,fine_tuned_only,Desktop Support / Hardware,Network Operations,fine_tuned_only
