input,gold_category,predicted_category,gold_priority,predicted_priority,gold_escalation,predicted_escalation,failure_type,raw_output
"i think i might have entered my password on the wrong site earlier, it looked like our login page but the url seemed a little off in hindsight, probably fine but wanted to say something",Security,Account / Authentication,High,Low,Escalate to Security / Incident Response immediately due to suspected credential phishing.,No escalation needed unless access needs to be revoked due to the suspected phishing URL.,wrong_category;wrong_priority;wrong_escalation,"{""category"": ""Account / Authentication"", ""priority"": ""Low"", ""summary"": ""User notices a minor discrepancy in the URL of a login page and proactively reports it."", ""troubleshooting"": [""Confirm the reported URL is not registered by entering it into a domain lookup tool"", ""Verify the correct account is linked to the session"", ""Confirm two-factor authentication status""], ""escalation"": ""No escalation needed unless access needs to be revoked due to the suspected phishing URL.""}"
"shared a onedrive folder with a vendor, they say the link says access denied but it works fine for me and everyone internal",Microsoft 365,Microsoft 365,Medium,Medium,Escalate to Microsoft 365 / Cloud Services if external sharing settings appear correct but access still fails.,Escalate to Identity & Access Management if permission inheritance isn't working correctly.,wrong_escalation,"{""category"": ""Microsoft 365"", ""priority"": ""Medium"", ""summary"": ""User shares a OneDrive folder with a vendor but receives an access denied error."", ""troubleshooting"": [""Verify the vendor's account is signed in and licensed"", ""Confirm the shared folder has valid permissions applied"", ""Have the user re-enter the link from the folder's settings""], ""escalation"": ""Escalate to Identity & Access Management if permission inheritance isn't working correctly.""}"
"spilled water (not coffee this time lol) on my keyboard, powered it off right away but now im scared to turn it back on",Hardware,Hardware,High,Medium,Escalate to Desktop Support / Hardware immediately for inspection before any further use.,Escalate to Desktop Support / Hardware for inspection and possible keyboard replacement.,wrong_priority,"{""category"": ""Hardware"", ""priority"": ""Medium"", ""summary"": ""User spilled water on their keyboard and powered it off immediately, now hesitant to power it back on."", ""troubleshooting"": [""Document damage for the asset/repair record"", ""Do not power the device back on"", ""Remove device from use and isolate it""], ""escalation"": ""Escalate to Desktop Support / Hardware for inspection and possible keyboard replacement.""}"
"my account shows im still in the 'contractor' group even tho i went full time 2 months ago, missing out on some internal tools because of it",Account / Authentication,Account / Authentication,Low,Medium,Escalate to Identity & Access Management if group membership cannot be updated directly.,Escalate to Identity & Access Management if the group membership needs to be urgently corrected.,wrong_priority,"{""category"": ""Account / Authentication"", ""priority"": ""Medium"", ""summary"": ""User's account group membership is incorrect, blocking access to internal tools."", ""troubleshooting"": [""Verify user's HR record shows full-time status"", ""Check if the account update request was submitted and approved"", ""Manually adjust group membership if approval is confirmed""], ""escalation"": ""Escalate to Identity & Access Management if the group membership needs to be urgently corrected.""}"
"teams keeps saying 'poor connection' during calls but netflix streams fine and my speed test looks normal, kind of confusing",Microsoft 365,Microsoft 365,Medium,Medium,Escalate to Microsoft 365 / Cloud Services if the issue persists after the app update and isolation testing.,Escalate to Network Operations if latency and packet loss remain high after update and switch.,wrong_escalation,"{""category"": ""Microsoft 365"", ""priority"": ""Medium"", ""summary"": ""User experiences intermittent Teams call quality issues while streaming Netflix and running a normal speed test."", ""troubleshooting"": [""Check Teams call latency and packet loss"", ""Verify network jitter during call times"", ""Update Teams to the latest version"", ""Try a different device or Wi-Fi access point""], ""escalation"": ""Escalate to Network Operations if latency and packet loss remain high after update and switch.""}"
"13 people on the new grad cohort cant log into anything today, first day and they're all just sitting there unable to start onboarding",Account / Authentication,Account / Authentication,High,Critical,Escalate to Identity & Access Management; affects an entire new-hire cohort's first-day access.,Escalate to Identity & Access Management immediately; multiple new employees affected on their first day.,wrong_priority,"{""category"": ""Account / Authentication"", ""priority"": ""Critical"", ""summary"": ""Multiple newly onboarded employees in the new grad cohort are unable to log into any systems on their first day."", ""troubleshooting"": [""Check identity provider service status"", ""Verify onboarding automation ran correctly"", ""Test login manually for a sample new hire""], ""escalation"": ""Escalate to Identity & Access Management immediately; multiple new employees affected on their first day.""}"
"getting a push notification for mfa but i never tried to log in, denied it just in case, kinda freaked out ngl",Security,Account / Authentication,High,Low,Escalate to Security / Incident Response for review of the unauthorized login attempt.,No escalation needed unless unauthorized access is suspected.,wrong_category;wrong_priority;wrong_escalation,"{""category"": ""Account / Authentication"", ""priority"": ""Low"", ""summary"": ""User received an MFA push notification without logging in and is concerned."", ""troubleshooting"": [""Review recent sign-in activity to confirm no unauthorized access"", ""Confirm MFA device status"", ""Reset MFA authenticator app if available""], ""escalation"": ""No escalation needed unless unauthorized access is suspected.""}"
"major update pushed to every laptop in the company this morning and now like half of us cant even log into windows, black screen after the lock screen",Software,Microsoft 365,Critical,Critical,Escalate to Desktop Support / Hardware immediately as a business-critical outage.,Escalate to Desktop Support / Hardware immediately as a business-critical outage.,wrong_category,"{""category"": ""Microsoft 365"", ""priority"": ""Critical"", ""summary"": ""A company-wide desktop update has broken login for multiple users."", ""troubleshooting"": [""Check Microsoft Update Center for the affected update"", ""Apply the update vendor's recommended rollback instructions"", ""Prepare to deploy the rollback to all affected machines""], ""escalation"": ""Escalate to Desktop Support / Hardware immediately as a business-critical outage.""}"
"getting a popup every time i open chrome asking to set it as default browser, i already said no like 20 times, harmless just annoying",Software,Browser,Low,Low,No escalation needed.,No escalation needed.,wrong_category,"{""category"": ""Browser"", ""priority"": ""Low"", ""summary"": ""User is repeatedly prompted to set Chrome as default browser despite rejecting the prompt."", ""troubleshooting"": [""Check browser settings for default app preferences"", ""Confirm prompt behavior after setting default"", ""Update browser to latest version""], ""escalation"": ""No escalation needed.""}"
"just noticed the HR shared drive with everyone's salary info is showing up for me and i definitely shouldnt be able to see that, closed it immediately",File / Permissions,File / Permissions,Critical,High,Escalate to Security / Incident Response immediately as a potential data exposure incident.,Escalate to Security / Incident Response due to unauthorized access to sensitive information.,wrong_priority,"{""category"": ""File / Permissions"", ""priority"": ""High"", ""summary"": ""User discovers unauthorized access to a sensitive shared drive."", ""troubleshooting"": [""Confirm user's permission revocation and drive access removal"", ""Audit who else may have accessed the shared drive"", ""Update file permissions for the affected directory""], ""escalation"": ""Escalate to Security / Incident Response due to unauthorized access to sensitive information.""}"
"locked out after too many tries, i swear i typed it right, need back in asap i have payroll due today",Account / Authentication,Account / Authentication,High,High,"No escalation needed once unlocked, unless the underlying cause is unclear.",Escalate to Identity & Access Management immediately due to a locked account.,wrong_escalation,"{""category"": ""Account / Authentication"", ""priority"": ""High"", ""summary"": ""User's account is locked due to repeated failed login attempts."", ""troubleshooting"": [""Verify user identity per standard procedure"", ""Unlock account in identity management console"", ""Confirm user can log in successfully"", ""Advise user on correct credential entry going forward""], ""escalation"": ""Escalate to Identity & Access Management immediately due to a locked account.""}"
