input,gold_category,gold_priority,gold_escalation,raw_output,json_valid,required_fields_complete,category_correct,priority_correct,escalation_correct,predicted_category,predicted_priority,predicted_escalation
"forgot my pw again lol can someone reset, sorry for the hassle",Account / Authentication,Low,No escalation needed; standard password reset.,"{""category"": ""Account / Authentication"", ""priority"": ""Low"", ""summary"": ""User requests a password reset due to forgetting their current password."", ""troubleshooting"": [""Verify user identity per standard procedure"", ""Send password reset link to registered email"", ""Confirm user can log in with new password""], ""escalation"": ""No escalation needed; standard password reset.""}",True,True,True,True,True,Account / Authentication,Low,No escalation needed; standard password reset.
"company ipad got stolen out of a car overnight along with a bag of other stuff, police report filed, ipad has some client contact info synced to it",Mobile Device,Critical,Escalate to Security / Incident Response immediately due to theft of a device containing client data.,"{""category"": ""Mobile Device"", ""priority"": ""High"", ""summary"": ""A work phone was stolen overnight from a vehicle along with other items, with synced client contact info potentially exposed."", ""troubleshooting"": [""Immediately issue a remote wipe command via MDM if the management console is accessible"", ""Revoke the device's access tokens"", ""Update the associated account password as a precaution""], ""escalation"": ""Escalate to Security / Incident Response immediately due to potential exposure of client information.""}",True,True,True,False,True,Mobile Device,High,Escalate to Security / Incident Response immediately due to potential exposure of client information.
"getting reports from like 6 different people that their desktop backgrounds got replaced with some weird message about their files, and file names look scrambled",Security,Critical,Escalate to Security / Incident Response immediately as a suspected ransomware incident.,"{""category"": ""Desktop Support"", ""priority"": ""High"", ""summary"": ""Multiple users report their desktop backgrounds being replaced with a scrambled file name message."", ""troubleshooting"": [""Confirm scope of incident across all affected users"", ""Check for a recent group policy or login script change"", ""Test affected machines after background reset""], ""escalation"": ""Escalate to Desktop Support / Hardware for urgent investigation; affects multiple users' primary work display.""}",True,True,False,False,False,Desktop Support,High,Escalate to Desktop Support / Hardware for urgent investigation; affects multiple users' primary work display.
"mouse cursor jumps around a little when i lift my hand off it, might just need cleaning idk",Hardware,Low,No escalation needed.,"{""category"": ""Hardware"", ""priority"": ""Low"", ""summary"": ""User's mouse cursor exhibits minor jitter when lifted off the surface, possibly due to dirt or debris."", ""troubleshooting"": [""Clean under the mouse cursor with a cloth"", ""Test cursor behavior after cleaning""], ""escalation"": ""No escalation needed unless jitter persists after cleaning.""}",True,True,True,True,True,Hardware,Low,No escalation needed unless jitter persists after cleaning.
"my laptop fan has been running non stop even when im not doing anything, and battery drains way faster than usual the last couple days. task manager shows something called 'svc_helper32' using a ton of CPU that i dont remember ever installing",Security,Medium,Escalate to Security / Incident Response if the scan confirms malware or the process is unrecognized.,"{""category"": ""Hardware"", ""priority"": ""Medium"", ""summary"": ""User's laptop fan is running continuously with faster battery drain, attributed to an unknown CPU-intensive background process."", ""troubleshooting"": [""Identify the unknown background process ('svc_helper32') and research its origin"", ""Check for recent software updates or installations that may have introduced the process"", ""Temporarily disable the process to observe fan and battery behavior""], ""escalation"": ""Escalate to Security / Incident Response if the unknown process is suspicious or unrelated to recent activity.""}",True,True,False,True,True,Hardware,Medium,Escalate to Security / Incident Response if the unknown process is suspicious or unrelated to recent activity.
"excel file synced from onedrive keeps showing an old version no matter how many times i save, super annoying mid project",Microsoft 365,Medium,Escalate to Microsoft 365 / Cloud Services if sync conflicts continue after a manual resync.,"{""category"": ""Microsoft 365"", ""priority"": ""Medium"", ""summary"": ""User's saved changes to an Excel file in OneDrive appear outdated after sync."", ""troubleshooting"": [""Confirm save and sync status in OneDrive desktop app"", ""Check file version history for the change"", ""Re-sync the folder in the OneDrive settings""], ""escalation"": ""Escalate to Microsoft 365 / Cloud Services if sync failure is confirmed.""}",True,True,True,True,True,Microsoft 365,Medium,Escalate to Microsoft 365 / Cloud Services if sync failure is confirmed.
the only printer that can do the big architectural drawings is down and we need to submit blueprints to the city by end of day,Printer,High,Escalate to Desktop Support / Hardware urgently due to the regulatory submission deadline.,"{""category"": ""Printer"", ""priority"": ""High"", ""summary"": ""The sole printer capable of handling large architectural drawings is down, blocking timely submission of blueprints to the city."", ""troubleshooting"": [""Check printer error display for a specific fault code"", ""Attempt a power cycle of the printer"", ""Identify nearest working large-format printer as a temporary workaround""], ""escalation"": ""Escalate to Desktop Support / Hardware urgently due to the time constraint for city submission.""}",True,True,True,True,True,Printer,High,Escalate to Desktop Support / Hardware urgently due to the time constraint for city submission.
"not a big deal probably but i got an email saying my password was changed and i definitely didnt do that, still able to log in fine though so guessing it's nothing",Security,Critical,Escalate to Security / Incident Response immediately as a suspected account compromise.,"{""category"": ""Account / Authentication"", ""priority"": ""Low"", ""summary"": ""User received a password change notification without triggering it."", ""troubleshooting"": [""Confirm current login ability with the notified account"", ""Reset password confirmation link in the notification"", ""Check last sign-in details for the account""], ""escalation"": ""No escalation needed unless login fails after resetting.""}",True,True,False,False,False,Account / Authentication,Low,No escalation needed unless login fails after resetting.
"notification badges on my work phone dont clear even after i read everything, kind of a minor annoyance",Mobile Device,Low,No escalation needed.,"{""category"": ""Mobile Device"", ""priority"": ""Low"", ""summary"": ""User's notification badge counts do not clear after viewing notifications."", ""troubleshooting"": [""Update the notification center app"", ""Check for a device-level notification setting"", ""Manually clear the badge from settings""], ""escalation"": ""No escalation needed.""}",True,True,True,True,True,Mobile Device,Low,No escalation needed.
"sso login just spins and spins on the loading screen, never actually logs me in, tried 3 times now",Account / Authentication,Medium,Escalate to Identity & Access Management if the SSO provider itself is confirmed down.,"{""category"": ""Identity and Access Management"", ""priority"": ""Medium"", ""summary"": ""Single Sign-On login gets stuck indefinitely on the loading screen."", ""troubleshooting"": [""Check SSO ID token expiration"", ""Verify identity provider response"", ""Try a different browser or device"", ""Confirm application has valid SSO configuration""], ""escalation"": ""Escalate to Identity Management if issue persists across multiple sign-in attempts.""}",True,True,False,True,False,Identity and Access Management,Medium,Escalate to Identity Management if issue persists across multiple sign-in attempts.
"my display name is wrong in the directory, shows my old last name from before i got married, not urgent just want it fixed eventually",Account / Authentication,Low,No escalation needed.,"{""category"": ""Directory / Permissions"", ""priority"": ""Low"", ""summary"": ""User requests update of their display name in the directory to reflect a name change."", ""troubleshooting"": [""Verify user has submitted a name change request through HR/onboarding"", ""Confirm directory update will take effect after request is approved"", ""Update user's email signature and business cards pending directory change""], ""escalation"": ""No escalation needed; standard name change process.""}",True,True,False,True,True,Directory / Permissions,Low,No escalation needed; standard name change process.
"adobe keeps crashing whenever i try to export a pdf, worked fine last week, didnt change anything on my end that i know of",Software,Medium,Escalate to Desktop Support / Hardware if the crash persists after reinstalling.,"{""category"": ""Software"", ""priority"": ""Medium"", ""summary"": ""Adobe keeps crashing when exporting PDFs, which recently started after no recent changes were made."", ""troubleshooting"": [""Update Adobe to the latest version"", ""Check for recent file changes triggering the crash"", ""Test export on a different file""], ""escalation"": ""Escalate to Desktop Support / Hardware if update and file changes don't resolve it.""}",True,True,True,True,True,Software,Medium,Escalate to Desktop Support / Hardware if update and file changes don't resolve it.
few of us on this floor noticed the printer app on our laptops shows the printer as 'offline' even though the light on it is green and other floors can print to it fine,Printer,Medium,Escalate to Network Operations if the printer's network segment is unreachable specifically from that floor.,"{""category"": ""Printer"", ""priority"": ""Medium"", ""summary"": ""Multiple users on a floor are unable to print to the shared printer via the printer app."", ""troubleshooting"": [""Verify printer's network connection and IP address"", ""Check print server for the printer's status"", ""Confirm no recent network changes affected the printer's VLAN""], ""escalation"": ""Escalate to Network Operations if the printer's network segment is unreachable; otherwise, escalate to Desktop Support.""}",True,True,True,True,True,Printer,Medium,"Escalate to Network Operations if the printer's network segment is unreachable; otherwise, escalate to Desktop Support."
"whole 6th floor just lost wifi at the same time, like 15 of us in the meeting room right now w no internet, we have a client call starting in 10 min",Network / Wi-Fi,High,Escalate to Network Operations immediately due to the imminent client call and multiple affected users.,"{""category"": ""Network / Wi-Fi"", ""priority"": ""High"", ""summary"": ""Multiple users on the 6th floor report a simultaneous loss of wireless network connectivity."", ""troubleshooting"": [""Confirm scope of outage with other floor occupants"", ""Check access point status for the affected area"", ""Power cycle the switch serving the floor if accessible""], ""escalation"": ""Escalate to Network Operations immediately; multiple users impacted with a client call pending.""}",True,True,True,True,True,Network / Wi-Fi,High,Escalate to Network Operations immediately; multiple users impacted with a client call pending.
"found a random usb stick on the parking garage floor, kind of curious what's on it, havent plugged it in yet though",Security,High,Escalate to Security / Incident Response for handling of the unidentified device.,"{""category"": ""Security"", ""priority"": ""High"", ""summary"": ""A discovered unidentified USB device is present and has not been connected to any device."", ""troubleshooting"": [""Do not connect the device to any system"", ""Physically secure the device in a locked container"", ""Document the discovery for audit purposes""], ""escalation"": ""Escalate to Security / Incident Response for forensic review before the device is touched.""}",True,True,True,True,True,Security,High,Escalate to Security / Incident Response for forensic review before the device is touched.
"tablet wont hold a charge for more than like 2 hours now, used to last all day, battery replacement maybe?",Mobile Device,Medium,Escalate to Desktop Support / Hardware for battery replacement if the health check confirms degradation.,"{""category"": ""Mobile Device"", ""priority"": ""Medium"", ""summary"": ""User's tablet rapidly loses charge and no longer lasts all day."", ""troubleshooting"": [""Check battery health status in settings"", ""Test with a different charger/power adapter"", ""Review recent high-CPU apps draining battery""], ""escalation"": ""Escalate to Desktop Support / Hardware if battery health check confirms degradation.""}",True,True,True,True,True,Mobile Device,Medium,Escalate to Desktop Support / Hardware if battery health check confirms degradation.
"phone keeps saying 'MDM profile needs attention' but when i tap it nothing happens, cant tell if something's actually wrong or not",Mobile Device,Medium,Escalate to Desktop Support / Hardware if the MDM console shows a real compliance failure.,"{""category"": ""Mobile Device"", ""priority"": ""Low"", ""summary"": ""User's mobile device displays a persistent MDM profile notification with no actionable response."", ""troubleshooting"": [""Update device OS and app to latest version"", ""Manually apply the MDM profile via settings"", ""Confirm notification behavior after update""], ""escalation"": ""No escalation needed unless notification persists after update.""}",True,True,True,False,False,Mobile Device,Low,No escalation needed unless notification persists after update.
"paper tray label fell off, still works fine just says 'tray' instead of 'tray 2' now lol",Printer,Low,No escalation needed.,"{""category"": ""Printer"", ""priority"": ""Low"", ""summary"": ""A printer's paper tray label is missing but the tray functions correctly."", ""troubleshooting"": [""Replace the label with a new one from the manufacturer or a third-party supplier"", ""Print a custom label and attach it to the tray""], ""escalation"": ""No escalation needed.""}",True,True,True,True,True,Printer,Low,No escalation needed.
"signature still says 'Sales Associate' but i got promoted to 'Senior Sales Associate' like 3 weeks ago, no rush",Microsoft 365,Low,No escalation needed.,"{""category"": ""HR"", ""priority"": ""Low"", ""summary"": ""User's job title in the signature does not match their recent promotion."", ""troubleshooting"": [""Update signature template in email client"", ""Verify current HR record of user's title"", ""Confirm signature update has been deployed""], ""escalation"": ""No escalation needed.""}",True,True,False,True,True,HR,Low,No escalation needed.
"i think i might have entered my password on the wrong site earlier, it looked like our login page but the url seemed a little off in hindsight, probably fine but wanted to say something",Security,High,Escalate to Security / Incident Response immediately due to suspected credential phishing.,"{""category"": ""Account / Authentication"", ""priority"": ""Low"", ""summary"": ""User notices a minor discrepancy in the URL of a login page and proactively reports it."", ""troubleshooting"": [""Confirm the reported URL is not registered by entering it into a domain lookup tool"", ""Verify the correct account is linked to the session"", ""Confirm two-factor authentication status""], ""escalation"": ""No escalation needed unless access needs to be revoked due to the suspected phishing URL.""}",True,True,False,False,False,Account / Authentication,Low,No escalation needed unless access needs to be revoked due to the suspected phishing URL.
"shared a onedrive folder with a vendor, they say the link says access denied but it works fine for me and everyone internal",Microsoft 365,Medium,Escalate to Microsoft 365 / Cloud Services if external sharing settings appear correct but access still fails.,"{""category"": ""Microsoft 365"", ""priority"": ""Medium"", ""summary"": ""User shares a OneDrive folder with a vendor but receives an access denied error."", ""troubleshooting"": [""Verify the vendor's account is signed in and licensed"", ""Confirm the shared folder has valid permissions applied"", ""Have the user re-enter the link from the folder's settings""], ""escalation"": ""Escalate to Identity & Access Management if permission inheritance isn't working correctly.""}",True,True,True,True,False,Microsoft 365,Medium,Escalate to Identity & Access Management if permission inheritance isn't working correctly.
"getting logged out of everything randomly throughout the day, like every hour or so i have to sign back in, its really disruptive",Account / Authentication,Medium,Escalate to Identity & Access Management if repeated sign-outs continue after initial checks.,"{""category"": ""Account / Authentication"", ""priority"": ""Medium"", ""summary"": ""User is repeatedly being logged out of multiple systems on an hourly basis."", ""troubleshooting"": [""Check account expiration date and password expiration policy"", ""Verify MFA device status"", ""Re-enter credentials manually to confirm password validity""], ""escalation"": ""Escalate to Identity & Access Management if repeated logout continues after credential verification.""}",True,True,True,True,True,Account / Authentication,Medium,Escalate to Identity & Access Management if repeated logout continues after credential verification.
"spilled water (not coffee this time lol) on my keyboard, powered it off right away but now im scared to turn it back on",Hardware,High,Escalate to Desktop Support / Hardware immediately for inspection before any further use.,"{""category"": ""Hardware"", ""priority"": ""Medium"", ""summary"": ""User spilled water on their keyboard and powered it off immediately, now hesitant to power it back on."", ""troubleshooting"": [""Document damage for the asset/repair record"", ""Do not power the device back on"", ""Remove device from use and isolate it""], ""escalation"": ""Escalate to Desktop Support / Hardware for inspection and possible keyboard replacement.""}",True,True,True,False,True,Hardware,Medium,Escalate to Desktop Support / Hardware for inspection and possible keyboard replacement.
"my account shows im still in the 'contractor' group even tho i went full time 2 months ago, missing out on some internal tools because of it",Account / Authentication,Low,Escalate to Identity & Access Management if group membership cannot be updated directly.,"{""category"": ""Account / Authentication"", ""priority"": ""Medium"", ""summary"": ""User's account group membership is incorrect, blocking access to internal tools."", ""troubleshooting"": [""Verify user's HR record shows full-time status"", ""Check if the account update request was submitted and approved"", ""Manually adjust group membership if approval is confirmed""], ""escalation"": ""Escalate to Identity & Access Management if the group membership needs to be urgently corrected.""}",True,True,True,False,True,Account / Authentication,Medium,Escalate to Identity & Access Management if the group membership needs to be urgently corrected.
"the color printer is printing everything with a weird green tint, black and white stuff prints normal though",Printer,Medium,Escalate to Desktop Support / Hardware if the tint persists after calibration.,"{""category"": ""Printer"", ""priority"": ""Medium"", ""summary"": ""A color printer is producing output with an overall green tinge while black and white prints are normal."", ""troubleshooting"": [""Check the color toner/ink cartridges for even distribution"", ""Inspect the color printer's waste toner/ink container for overflow"", ""Run the printer's built-in cleaning cycle for color cartridges""], ""escalation"": ""Escalate to Desktop Support / Hardware if the issue persists after cleaning and cartridge check.""}",True,True,True,True,True,Printer,Medium,Escalate to Desktop Support / Hardware if the issue persists after cleaning and cartridge check.
"teams keeps saying 'poor connection' during calls but netflix streams fine and my speed test looks normal, kind of confusing",Microsoft 365,Medium,Escalate to Microsoft 365 / Cloud Services if the issue persists after the app update and isolation testing.,"{""category"": ""Microsoft 365"", ""priority"": ""Medium"", ""summary"": ""User experiences intermittent Teams call quality issues while streaming Netflix and running a normal speed test."", ""troubleshooting"": [""Check Teams call latency and packet loss"", ""Verify network jitter during call times"", ""Update Teams to the latest version"", ""Try a different device or Wi-Fi access point""], ""escalation"": ""Escalate to Network Operations if latency and packet loss remain high after update and switch.""}",True,True,True,True,False,Microsoft 365,Medium,Escalate to Network Operations if latency and packet loss remain high after update and switch.
"entire building offline right now, cant even get to internal tools, this is bad we have month end close today",Network / Wi-Fi,Critical,Escalate to Network Operations immediately as a business-critical outage.,"{""category"": ""Network / Wi-Fi"", ""priority"": ""Critical"", ""summary"": ""Building-wide network outage affecting all internal tools, blocking month-end close."", ""troubleshooting"": [""Confirm outage scope across floors and buildings"", ""Check core router/firewall status"", ""Contact ISP if outage is circuit-related""], ""escalation"": ""Escalate to Network Operations immediately as a business-critical outage.""}",True,True,True,True,True,Network / Wi-Fi,Critical,Escalate to Network Operations immediately as a business-critical outage.
"ethernet cable behind my desk looks a lil frayed, still works fine but wanted to mention before it fully dies",Network / Wi-Fi,Low,No escalation needed.,"{""category"": ""Network / Wi-Fi"", ""priority"": ""Low"", ""summary"": ""User notices minor fraying on an ethernet cable that remains functional."", ""troubleshooting"": [""Inspect the frayed section for exposed wires"", ""Test the cable with a network speed test"", ""Replace if test fails or fraying worsens""], ""escalation"": ""No escalation needed unless the cable fails.""}",True,True,True,True,True,Network / Wi-Fi,Low,No escalation needed unless the cable fails.
"the whole design team cant open any of their figma files since the update this morning, deadline is today for the client presentation",Software,High,Escalate to Desktop Support / Hardware for urgent investigation given the same-day deadline.,"{""category"": ""Software"", ""priority"": ""High"", ""summary"": ""An entire team is unable to open Figma files after an update, with a client presentation deadline today."", ""troubleshooting"": [""Confirm which update affected Figma"", ""Check for a vendor-published known issue or hotfix"", ""Test opening files in a different viewer""], ""escalation"": ""Escalate to Desktop Support / Hardware; affects the entire team's ability to meet a client deadline.""}",True,True,True,True,True,Software,High,Escalate to Desktop Support / Hardware; affects the entire team's ability to meet a client deadline.
"left my work phone in an uber this morning, already contacted the driver but no luck getting it back yet, it has email and teams logged in",Mobile Device,High,Escalate to Security / Incident Response immediately due to a lost device with active email/Teams access.,"{""category"": ""Mobile Device"", ""priority"": ""High"", ""summary"": ""User left their work phone in an Uber and needs assistance recovering it before the device can be erased."", ""troubleshooting"": [""Confirm device is not showing as lost or erased"", ""Check if the Uber driver has found the device"", ""Prepare to erase the device remotely if recovery fails""], ""escalation"": ""Escalate to Security / Incident Response if the device cannot be recovered in time.""}",True,True,True,True,True,Mobile Device,High,Escalate to Security / Incident Response if the device cannot be recovered in time.
"so i was on vpn all morning fine then it just dropped and now it wont reconnect, keeps failing at the handshake step or whatever",VPN,Medium,Escalate to Network Operations if reconnection continues to fail across gateways.,"{""category"": ""VPN"", ""priority"": ""Medium"", ""summary"": ""User's VPN session disconnected and fails to reconnect, repeating the handshake failure."", ""troubleshooting"": [""Check VPN client status for error messages"", ""Verify network stability during reconnection attempt"", ""Update VPN client software"", ""Try connecting to a different VPN gateway""], ""escalation"": ""Escalate to Network Operations if reconnection continues to fail across multiple gateways.""}",True,True,True,True,True,VPN,Medium,Escalate to Network Operations if reconnection continues to fail across multiple gateways.
"keep sending print jobs and nothing happens, no error either, just disappears into the void",Printer,Medium,Escalate to Desktop Support / Hardware if the queue remains stuck after a spooler restart.,"{""category"": ""Printer"", ""priority"": ""Medium"", ""summary"": ""Print jobs are being sent but not printed; no errors are displayed."", ""troubleshooting"": [""Confirm printer is powered on and connected to the network"", ""Check print queue for stuck or abandoned jobs"", ""Verify printer has paper and toner/ink"", ""Send a test print directly from the printer's interface""], ""escalation"": ""Escalate to Desktop Support / Hardware if the queue remains stuck after a queue reset.""}",True,True,True,True,True,Printer,Medium,Escalate to Desktop Support / Hardware if the queue remains stuck after a queue reset.
"13 people on the new grad cohort cant log into anything today, first day and they're all just sitting there unable to start onboarding",Account / Authentication,High,Escalate to Identity & Access Management; affects an entire new-hire cohort's first-day access.,"{""category"": ""Account / Authentication"", ""priority"": ""Critical"", ""summary"": ""Multiple newly onboarded employees in the new grad cohort are unable to log into any systems on their first day."", ""troubleshooting"": [""Check identity provider service status"", ""Verify onboarding automation ran correctly"", ""Test login manually for a sample new hire""], ""escalation"": ""Escalate to Identity & Access Management immediately; multiple new employees affected on their first day.""}",True,True,True,False,True,Account / Authentication,Critical,Escalate to Identity & Access Management immediately; multiple new employees affected on their first day.
"random but my calendar shows me as 'out of office' even though i turned that off like a week ago, people keep asking if im on vacation lol",Microsoft 365,Low,No escalation needed.,"{""category"": ""Microsoft 365"", ""priority"": ""Low"", ""summary"": ""User's out-of-office status in Microsoft 365 is showing incorrectly despite recent changes."", ""troubleshooting"": [""Verify out-of-office settings in Microsoft 365 admin center"", ""Confirm user's mailbox has picked up the change"", ""Check for a calendar event triggering the out-of-office display""], ""escalation"": ""No escalation needed unless issue persists after admin center verification.""}",True,True,True,True,True,Microsoft 365,Low,No escalation needed unless issue persists after admin center verification.
"getting a push notification for mfa but i never tried to log in, denied it just in case, kinda freaked out ngl",Security,High,Escalate to Security / Incident Response for review of the unauthorized login attempt.,"{""category"": ""Account / Authentication"", ""priority"": ""Low"", ""summary"": ""User received an MFA push notification without logging in and is concerned."", ""troubleshooting"": [""Review recent sign-in activity to confirm no unauthorized access"", ""Confirm MFA device status"", ""Reset MFA authenticator app if available""], ""escalation"": ""No escalation needed unless unauthorized access is suspected.""}",True,True,False,False,False,Account / Authentication,Low,No escalation needed unless unauthorized access is suspected.
"our whole remote sales team (about 9 people) cant get on vpn since like 8am, we're supposed to be doing demos all day",VPN,High,Escalate to Network Operations; multiple users affected during a business-critical activity.,"{""category"": ""VPN"", ""priority"": ""High"", ""summary"": ""An entire remote team is unable to establish VPN connections."", ""troubleshooting"": [""Check VPN concentrator/gateway status"", ""Confirm license/seat limits have not been reached"", ""Test connection from a different network""], ""escalation"": ""Escalate to Network Operations; affects multiple remote workers' productivity.""}",True,True,True,True,True,VPN,High,Escalate to Network Operations; affects multiple remote workers' productivity.
"wifi's been kinda spotty on my end today, drops for like a sec every so often. not a big deal just flagging it",Network / Wi-Fi,Low,No escalation needed unless the drops become more frequent or disruptive.,"{""category"": ""Network / Wi-Fi"", ""priority"": ""Low"", ""summary"": ""User occasionally loses weak wireless signal, lasting a second at a time."", ""troubleshooting"": [""Run a speed test and check signal strength map"", ""Restart the wireless adapter"", ""Move closer to the access point""], ""escalation"": ""No escalation needed unless issues become more frequent or severe.""}",True,True,True,True,True,Network / Wi-Fi,Low,No escalation needed unless issues become more frequent or severe.
"Hi, this is the VP of Finance. I can't open last quarter's budget file, it just says the file is corrupted. I'll need it eventually but I'm not touching that project again until next month, so no rush on my end.",File / Permissions,Low,No escalation needed given the user's stated timeline; revisit closer to when the file is required.,"{""category"": ""File / Permissions"", ""priority"": ""Low"", ""summary"": ""User's file opens as corrupted; file may be damaged or not fully written."", ""troubleshooting"": [""Try opening the file from a backup or version history"", ""Test opening the file on a different machine"", ""Check file size for signs of an incomplete transfer""], ""escalation"": ""No escalation needed unless backup and version history don't yield a usable copy.""}",True,True,True,True,True,File / Permissions,Low,No escalation needed unless backup and version history don't yield a usable copy.
